1560200  Version 1.06   ;;;;;;;;;;;;;
15/09/2021 16:22;;;;;;;;;;;;;
Serial Number:;19103026;;;;;;;;;;;;
Protocol Name:;euroimmune elisa;;;;;;;;;;;;
Read:;Normal; 00:05 Shake;;;;;;;;;;;
Blanks:;None;;;;;;;;;;;;
;;;;;;;;;;;;;
450;;1;2;3;4;5;6;7;8;9;10;11;12
;A;0.612;0.081;0.638;0;0;0;0;0;0;0;0;0
;B;1.886;0.082;0.502;0;0;0;0;0;0;0;0;0
;C;0.064;1.297;0.072;0;0;0;0;0;0;0;0;0
;D;2.343;0.571;0.069;0;0;0;0;0;0;0;0;0
;E;0.082;0.289;0.621;0;0;0;0;0;0;0;0;0
;F;0.265;3.648;0.224;0;0;0;0;0;0;0;0;0
;G;1.063;0.114;2.411;0;0;0;0;0;0;0;0;0
;H;0.942;0.685;0.09;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;
630;;1;2;3;4;5;6;7;8;9;10;11;12
;A;0.037;0.035;0.034;0;0;0;0;0;0;0;0;0
;B;0.037;0.035;0.036;0;0;0;0;0;0;0;0;0
;C;0.041;0.039;0.035;0;0;0;0;0;0;0;0;0
;D;0.037;0.033;0.037;0;0;0;0;0;0;0;0;0
;E;0.036;0.033;0.037;0;0;0;0;0;0;0;0;0
;F;0.035;0.041;0.037;0;0;0;0;0;0;0;0;0
;G;0.036;0.034;0.041;0;0;0;0;0;0;0;0;0
;H;0.037;0.035;0.036;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;
Delta  ;;1;2;3;4;5;6;7;8;9;10;11;12
;A;1.783;0.046;0.604;0;0;0;0;0;0;0;0;0
;B;1.395;0.047;0.466;0;0;0;0;0;0;0;0;0
;C;0.594;1.258;0.037;0;0;0;0;0;0;0;0;0
;D;0.164;0.538;0.032;0;0;0;0;0;0;0;0;0
;E;1.849;0.256;0.584;0;0;0;0;0;0;0;0;0
;F;0.023;3.607;0.187;0;0;0;0;0;0;0;0;0
;G;2.306;0.08;2.37;0;0;0;0;0;0;0;0;0
;H;0.046;0.65;0.054;0;0;0;0;0;0;0;0;0
